"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 01","4,376.86","4,183.84","4,447.00","4,171.00","","4.71%"
"2023- 05- 01","4,179.83","4,166.27","4,229.98","4,048.00","","0.25%"
"2023- 04- 01","4,169.48","4,102.50","4,170.52","4,049.30","","1.46%"
"2023- 03- 01","4,109.31","3,958.20","4,110.80","3,810.54","","3.51%"
"2023- 02- 01","3,970.15","4,063.85","4,195.34","3,942.86","","-2.61%"
"2023- 01- 01","4,076.60","3,858.38","4,094.32","3,793.67","","6.18%"
"2022- 12- 01","3,839.50","4,089.50","4,103.05","3,764.14","","-5.90%"
"2022- 11- 01","4,080.11","3,911.50","4,080.11","3,695.60","","5.38%"
"2022- 10- 01","3,871.98","3,624.07","3,906.05","3,490.00","","7.99%"
"2022- 09- 01","3,585.62","3,929.90","4,119.69","3,585.40","","-9.34%"
"2022- 08- 01","3,955.00","4,103.38","4,325.50","3,954.90","","-4.24%"
"2022- 07- 01","4,130.29","3,779.27","4,140.00","3,720.25","","9.11%"
"2022- 06- 01","3,785.38","4,156.10","4,177.60","3,636.82","","-8.39%"
"2022- 05- 01","4,132.15","4,132.70","4,307.90","3,810.50","","0.01%"
"2022- 04- 01","4,131.93","4,547.90","4,593.90","4,123.87","","-8.80%"
"2022- 03- 01","4,530.41","4,358.08","4,637.90","4,157.20","","3.58%"
"2022- 02- 01","4,373.79","4,521.35","4,595.10","4,114.50","","-3.14%"
"2022- 01- 01","4,515.55","4,781.00","4,817.88","4,221.54","","-5.26%"
"2021- 12- 01","4,766.18","4,623.80","4,808.52","4,494.20","","4.36%"
"2021- 11- 01","4,567.00","4,616.47","4,743.74","4,560.26","","-0.83%"
"2021- 10- 01","4,605.38","4,324.71","4,608.70","4,278.70","","6.91%"
"2021- 09- 01","4,307.54","4,531.04","4,544.58","4,304.90","","-4.76%"
"2021- 08- 01","4,522.68","4,415.90","4,537.80","4,369.20","","2.90%"
"2021- 07- 01","4,395.26","4,304.10","4,430.20","4,232.80","","2.27%"
"2021- 06- 01","4,297.50","4,216.52","4,302.43","4,164.40","","2.22%"
"2021- 05- 01","4,204.11","4,191.98","4,238.04","4,056.88","","0.55%"
"2021- 04- 01","4,181.17","3,992.78","4,218.78","3,992.78","","5.24%"
"2021- 03- 01","3,972.89","3,842.51","3,994.41","3,723.34","","4.24%"
"2021- 02- 01","3,811.15","3,731.17","3,950.43","3,725.62","","2.61%"
"2021- 01- 01","3,714.24","3,764.61","3,870.90","3,662.71","","-1.11%"
"2020- 12- 01","3,756.07","3,645.87","3,760.20","3,633.40","","3.71%"
