"날짜","종가","시가","고가","저가","거래량","변동 %"
"2000- 11- 16","1,139.80","1,137.50","1,140.40","1,136.50","","0.23%"
"2000- 11- 15","1,137.20","1,132.50","1,138.10","1,132.50","","-0.03%"
"2000- 11- 14","1,137.50","1,139.50","1,139.50","1,137.00","","-0.18%"
"2000- 11- 13","1,139.50","1,137.50","1,140.50","1,137.50","","0.35%"
"2000- 11- 10","1,135.50","1,131.50","1,136.20","1,131.50","","0.40%"
"2000- 11- 09","1,131.00","1,134.50","1,137.90","1,131.00","","-0.35%"
"2000- 11- 08","1,135.00","1,137.50","1,140.30","1,135.00","","-0.22%"
"2000- 11- 07","1,137.50","1,133.50","1,137.70","1,133.50","","0.35%"
"2000- 11- 06","1,133.50","1,134.20","1,134.80","1,130.50","","-0.11%"
"2000- 11- 03","1,134.80","1,135.50","1,135.50","1,132.50","","-0.04%"
"2000- 11- 02","1,135.30","1,136.80","1,137.20","1,134.00","","-0.13%"
"2000- 11- 01","1,136.80","1,137.50","1,137.80","1,136.00","","-0.06%"
"2000- 10- 31","1,137.50","1,143.50","1,143.50","1,137.50","","-0.09%"
"2000- 10- 30","1,138.50","1,134.50","1,139.50","1,133.50","","0.18%"
"2000- 10- 27","1,136.50","1,135.50","1,138.50","1,119.50","","0.26%"
"2000- 10- 26","1,133.50","1,138.50","1,142.60","1,133.50","","-0.44%"
"2000- 10- 25","1,138.50","1,136.50","1,139.50","1,136.50","","0.18%"
"2000- 10- 24","1,136.50","1,136.00","1,139.00","1,126.50","","-0.35%"
"2000- 10- 23","1,140.50","1,130.50","1,141.00","1,129.50","","0.71%"
"2000- 10- 20","1,132.50","1,129.50","1,132.50","1,126.50","","0.27%"
"2000- 10- 19","1,129.50","1,138.50","1,144.00","1,129.50","","-0.79%"
"2000- 10- 18","1,138.50","1,139.50","1,143.00","1,134.50","","0.35%"
"2000- 10- 17","1,134.50","1,128.50","1,134.80","1,123.50","","0.53%"
"2000- 10- 16","1,128.50","1,124.50","1,129.20","1,124.00","","-0.18%"
"2000- 10- 13","1,130.50","1,114.50","1,133.00","1,113.50","","0.80%"
"2000- 10- 12","1,121.50","1,114.50","1,126.50","1,114.50","","-0.09%"
"2000- 10- 11","1,122.50","1,121.50","1,126.50","1,112.50","","0.18%"
"2000- 10- 10","1,120.50","1,118.00","1,120.70","1,117.50","","0.31%"
"2000- 10- 09","1,117.00","1,114.00","1,118.20","1,107.00","","-0.04%"
"2000- 10- 06","1,117.50","1,116.50","1,120.50","1,116.50","","-0.03%"
"2000- 10- 05","1,117.85","1,117.35","1,119.55","1,114.85","","-0.15%"
"2000- 10- 04","1,119.50","1,119.50","1,123.50","1,115.00","","0.09%"
"2000- 10- 03","1,118.50","1,118.50","1,120.00","1,118.50","","0.03%"
"2000- 10- 02","1,118.15","1,112.75","1,118.25","1,106.25","","0.27%"
"2000- 09- 29","1,115.15","1,112.65","1,116.25","1,112.65","","-0.06%"
"2000- 09- 28","1,115.80","1,112.60","1,116.10","1,112.10","","0.12%"
"2000- 09- 27","1,114.50","1,118.10","1,118.10","1,113.00","","-0.45%"
"2000- 09- 26","1,119.50","1,122.50","1,124.50","1,116.50","","-0.49%"
"2000- 09- 25","1,125.00","1,129.00","1,129.00","1,113.00","","-0.88%"
"2000- 09- 22","1,135.00","1,129.00","1,136.50","1,129.00","","0.71%"
"2000- 09- 21","1,127.00","1,125.00","1,132.50","1,119.00","","0.04%"
"2000- 09- 20","1,126.50","1,125.50","1,126.50","1,118.00","","0.00%"
"2000- 09- 19","1,126.50","1,130.50","1,134.00","1,120.50","","-0.53%"
"2000- 09- 18","1,132.50","1,128.50","1,139.40","1,124.50","","1.13%"
"2000- 09- 15","1,119.85","1,115.05","1,120.15","1,115.05","","0.42%"
"2000- 09- 14","1,115.15","1,110.05","1,115.15","1,105.05","","0.51%"
"2000- 09- 13","1,109.50","1,109.50","1,109.50","1,109.50","","0.00%"
"2000- 09- 12","1,109.50","1,109.50","1,109.50","1,109.50","","0.05%"
"2000- 09- 11","1,109.00","1,109.00","1,109.00","1,109.00","","0.00%"
