"날짜","종가","시가","고가","저가","변동 %"
"1982- 06- 01","69.56","72.06","72.09","68.03","-3.72%"
"1982- 07- 01","72.34","69.75","73.09","69.16","4.00%"
"1982- 08- 01","76.06","73.31","79.22","71.53","5.14%"
"1982- 09- 01","78.81","76.00","79.19","76.00","3.62%"
"1982- 10- 01","83.66","78.91","85.25","78.22","6.15%"
"1982- 11- 01","82.88","83.88","85.34","82.66","-0.93%"
"1982- 12- 01","84.06","83.19","85.25","82.72","1.42%"
"1983- 01- 01","82.81","84.44","85.66","82.66","-1.49%"
"1983- 02- 01","85.94","82.78","86.66","81.91","3.78%"
"1983- 03- 01","84.31","85.94","86.91","83.69","-1.90%"
"1983- 04- 01","86.50","84.38","86.66","84.34","2.60%"
"1983- 05- 01","83.66","86.72","87.28","83.47","-3.28%"
"1983- 06- 01","82.59","83.62","84.81","81.41","-1.28%"
"1983- 07- 01","78.94","82.47","82.69","78.72","-4.42%"
"1983- 08- 01","78.78","79.00","81.22","77.44","-0.20%"
"1983- 09- 01","81.06","78.94","81.38","78.69","2.89%"
"1983- 10- 01","79.66","81.19","81.91","79.62","-1.73%"
"1983- 11- 01","80.50","79.56","80.88","79.03","1.05%"
"1983- 12- 01","79.06","80.44","80.50","78.75","-1.79%"
"1984- 01- 01","80.06","78.84","80.47","78.62","1.26%"
"1984- 02- 01","78.88","80.06","80.59","78.41","-1.47%"
"1984- 03- 01","76.06","78.62","79.16","75.75","-3.58%"
"1984- 04- 01","75.09","76.19","76.88","74.91","-1.28%"
"1984- 05- 01","71.16","75.12","75.28","70.53","-5.23%"
"1984- 06- 01","71.16","71.44","74.38","71.06","0.00%"
"1984- 07- 01","75.31","71.12","75.56","70.97","5.83%"
"1984- 08- 01","75.69","75.19","76.84","75.19","0.50%"
"1984- 09- 01","76.75","75.50","78.12","74.81","1.40%"
"1984- 10- 01","79.66","76.69","80.19","76.31","3.79%"
"1984- 11- 01","80.50","79.62","82.44","78.94","1.05%"
"1984- 12- 01","79.84","80.44","82.06","79.16","-0.82%"
"1985- 01- 01","82.12","79.84","83.00","79.03","2.86%"
"1985- 02- 01","78.75","81.84","81.88","78.50","-4.10%"
"1985- 03- 01","79.44","78.44","79.72","78.03","0.88%"
"1985- 04- 01","81.06","79.31","82.25","78.72","2.04%"
"1985- 05- 01","86.75","80.91","86.84","80.84","7.02%"
"1985- 06- 01","85.88","87.28","89.56","84.41","-1.00%"
"1985- 07- 01","84.59","86.34","87.81","83.66","-1.50%"
"1985- 08- 01","86.59","85.00","87.75","84.06","2.36%"
"1985- 09- 01","85.69","86.44","87.50","84.94","-1.04%"
"1985- 10- 01","87.84","85.62","88.34","84.84","2.51%"
"1985- 11- 01","90.22","87.47","90.50","87.31","2.71%"
"1985- 12- 01","92.91","90.12","93.56","89.31","2.98%"
"1986- 01- 01","93.00","92.75","93.62","90.00","0.10%"
"1986- 02- 01","98.91","93.22","100.50","91.62","6.35%"
"1986- 03- 01","102.75","98.75","102.81","98.31","3.88%"
"1986- 04- 01","102.25","103.25","105.25","100.56","-0.49%"
"1986- 05- 01","97.72","102.19","102.41","97.38","-4.43%"
"1986- 06- 01","101.25","97.88","101.50","95.59","3.61%"
"1986- 07- 01","101.81","101.50","102.88","100.00","0.55%"
"1986- 08- 01","104.97","101.88","105.16","100.72","3.10%"
"1986- 09- 01","101.53","104.66","105.00","100.09","-3.28%"
"1986- 10- 01","103.09","101.69","103.66","100.56","1.54%"
"1986- 11- 01","104.09","103.22","104.50","101.88","0.97%"
"1986- 12- 01","103.31","103.75","105.41","103.25","-0.75%"
"1987- 01- 01","104.19","103.41","105.12","103.38","0.85%"
"1987- 02- 01","104.69","103.97","104.91","102.91","0.48%"
