날짜,종가,시가,고가,저가,변동 %
2023-06-01,101.96,102.3,103.07,101.89,-0.92%
2023-05-01,102.91,103.62,104.56,102.41,-0.79%
2023-04-01,103.73,103.94,104.1,103.31,-0.06%
2023-03-01,103.79,102.19,104.91,102,1.89%
2023-02-01,101.86,103.3,103.61,101.73,-1.33%
2023-01-01,103.23,103,103.72,102.75,0.49%
2022-12-01,102.73,102.75,103.47,102.56,0.05%
2022-11-01,102.68,102.47,102.84,101.77,0.28%
2022-10-01,102.39,103.17,103.17,102.07,-0.51%
2022-09-01,102.91,104,104.31,102.65,-1.26%
2022-08-01,104.22,104.75,104.75,104.38,-0.98%
2022-07-01,105.25,105.04,105.04,105.04,0.26%
2022-06-01,104.98,104.98,104.98,104.98,-0.96%
2022-05-01,106,105.36,106.17,105.12,0.56%
2022-04-01,105.41,105.86,106.08,105.14,-1.09%
2022-03-01,106.57,107.95,108.3,106.29,-1.31%
2022-02-01,107.99,108.3,108.4,107.39,-0.31%
2022-01-01,108.33,109.06,109.07,108.2,-1.03%
2021-12-01,109.46,109.59,109.64,109.35,-0.22%
2021-11-01,109.7,109.61,109.86,109.45,0.07%
2021-10-01,109.62,110.05,110.09,109.27,-0.56%
2021-09-01,110.24,110.32,110.36,110.2,-0.07%
2021-08-01,110.32,110.34,110.39,110.2,-0.01%
2021-07-01,110.33,110.16,110.34,110.11,0.04%
2021-06-01,110.29,110.44,110.45,110.22,-0.14%
2021-05-01,110.45,110.38,110.45,110.36,0.06%
2021-04-01,110.38,110.36,110.41,110.3,-0.06%
2021-03-01,110.45,110.48,110.49,110.38,0.02%
2021-02-01,110.43,110.5,110.51,110.34,-0.05%
2021-01-01,110.49,110.48,110.5,110.41,0.00%
2020-12-01,110.49,110.42,110.48,110.37,0.06%
2020-11-01,110.42,110.42,110.44,110.33,0.00%
2020-10-01,110.42,110.47,110.49,110.4,-0.03%
2020-09-01,110.45,110.43,110.47,110.39,0.02%
2020-08-01,110.43,110.5,110.5,110.36,-0.05%
2020-07-01,110.49,110.41,110.5,110.36,0.19%
2020-06-01,110.28,110.27,110.29,110.12,0.00%
2020-05-01,110.28,110.2,110.37,110.17,0.06%
2020-04-01,110.21,110.16,110.25,110.03,0.04%
2020-03-01,110.17,109.03,110.27,108.87,1.14%
2020-02-01,108.93,108.22,109,107.89,0.69%
2020-01-01,108.18,107.71,108.21,107.67,0.49%
2019-12-01,107.65,107.56,107.73,107.16,0.07%
2019-11-01,107.58,107.79,107.82,107.42,-0.20%
2019-10-01,107.8,107.75,108.28,107.53,0.28%
2019-09-01,107.5,107.82,107.94,107.2,-0.27%
2019-08-01,107.79,107.23,107.96,107.16,0.55%
2019-07-01,107.2,107.48,107.61,107.04,-0.15%
2019-06-01,107.36,107.08,107.45,107.05,0.30%
2019-05-01,107.04,106.5,107.09,106.27,0.51%
2019-04-01,106.5,106.55,106.55,106.21,0.06%
2019-03-01,106.44,105.97,106.59,105.88,0.43%
2019-02-01,105.98,106.17,106.18,105.95,-0.17%
2019-01-01,106.16,106.11,106.41,105.86,0.10%
2018-12-01,106.05,105.45,106.03,105.41,0.55%
2018-11-01,105.47,105.34,105.55,105.14,0.13%
2018-10-01,105.33,105.36,105.52,105.2,-0.22%
2018-09-01,105.56,105.82,105.84,105.51,-0.26%
2018-08-01,105.83,105.67,105.88,105.65,0.13%
2018-07-01,105.69,105.91,105.96,105.65,-0.36%
2018-06-01,106.07,106.2,106.2,105.93,-0.15%
2018-05-01,106.23,106.02,106.5,105.83,0.20%
2018-04-01,106.02,106.28,106.4,105.96,-0.50%
2018-03-01,106.55,106.52,106.63,106.4,0.06%
2018-02-01,106.49,106.61,107.01,106.44,-0.12%
2018-01-01,106.62,107.05,107.05,106.58,-0.62%
2017-12-01,107.28,107.38,107.45,107.18,-0.09%
2017-11-01,107.38,107.67,107.7,107.35,-0.28%
2017-10-01,107.68,107.82,107.88,107.6,-0.36%
2017-09-01,108.07,108.27,108.43,108.03,-0.18%
2017-08-01,108.27,108.16,108.33,108.13,0.09%
2017-07-01,108.17,108.05,108.2,107.94,-0.16%
2017-06-01,108.34,108.34,108.41,108.21,-0.01%
2017-05-01,108.35,108.3,108.44,108.12,0.05%
2017-04-01,108.3,108.24,108.48,108.16,-0.16%
2017-03-01,108.47,108.39,108.57,108.2,-0.02%
2017-02-01,108.49,108.39,108.64,108.28,0.08%
2017-01-01,108.4,108.3,108.48,108.2,-0.25%
2016-12-01,108.67,108.65,108.74,108.41,0.01%
2016-11-01,108.66,109.06,109.39,108.54,-0.38%
2016-10-01,109.07,109.23,109.23,108.92,-0.24%
2016-09-01,109.33,109.22,109.52,109.18,0.07%
2016-08-01,109.25,109.51,109.53,109.13,-0.23%
2016-07-01,109.5,109.67,109.77,109.26,-0.11%
2016-06-01,109.62,109.11,109.81,109.05,0.46%
2016-05-01,109.12,109.29,109.51,108.96,-0.17%
2016-04-01,109.31,109.4,109.45,109.09,-0.09%
2016-03-01,109.41,109.31,109.44,108.9,0.11%
2016-02-01,109.29,109.3,109.77,109.22,-0.02%
2016-01-01,109.31,108.63,109.34,108.6,0.42%
2015-12-01,108.85,109.04,109.17,108.77,-0.17%
2015-11-01,109.04,109.35,109.36,108.93,-0.27%
2015-10-01,109.33,109.55,109.74,109.3,-0.36%
2015-09-01,109.72,109.47,109.73,109.34,0.24%
2015-08-01,109.46,109.55,109.8,109.33,-0.06%
2015-07-01,109.53,109.45,109.7,109.29,-0.21%
2015-06-01,109.76,109.73,109.95,109.45,0.03%
2015-05-01,109.73,109.65,109.79,109.46,0.09%
2015-04-01,109.63,109.57,109.8,109.53,-0.25%
2015-03-01,109.91,109.71,109.93,109.48,0.19%
2015-02-01,109.7,109.91,109.92,109.45,-0.16%
2015-01-01,109.88,109.27,109.92,109.23,0.19%
2014-12-01,109.67,109.97,110.04,109.55,-0.26%
2014-11-01,109.96,109.79,109.98,109.65,0.16%
