"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 25","33,853.91","33,730.79","33,975.42","33,610.32","","0.37%"
"2023- 06- 18","33,728.69","34,120.51","34,173.00","33,648.49","","-1.67%"
"2023- 06- 11","34,300.76","33,950.60","34,585.05","33,784.49","","1.25%"
"2023- 06- 04","33,877.24","33,771.59","33,975.26","33,399.69","","0.34%"
"2023- 05- 28","33,762.76","33,103.65","33,805.00","32,706.92","","2.02%"
"2023- 05- 21","33,093.34","33,408.54","33,510.00","32,586.57","","-1.00%"
"2023- 05- 14","33,426.43","33,321.21","33,652.90","33,006.19","","0.38%"
"2023- 05- 07","33,300.62","33,715.15","33,771.23","33,110.71","","-1.11%"
"2023- 04- 30","33,674.31","34,116.81","34,257.17","32,938.59","","-1.25%"
"2023- 04- 23","34,098.95","33,794.79","34,102.58","33,236.02","","0.86%"
"2023- 04- 16","33,809.03","33,922.18","34,018.62","33,677.74","","-0.23%"
"2023- 04- 09","33,885.31","33,395.23","34,081.56","33,344.46","","1.19%"
"2023- 04- 02","33,485.35","33,246.47","33,633.32","33,246.47","","0.64%"
"2023- 03- 26","33,273.10","32,276.72","33,290.83","32,276.72","","3.21%"
"2023- 03- 19","32,238.15","31,935.21","32,761.38","31,805.18","","1.19%"
"2023- 03- 12","31,858.89","31,624.87","32,306.59","31,429.98","","-0.16%"
"2023- 03- 05","31,909.96","33,425.32","33,571.44","31,784.37","","-4.43%"
"2023- 02- 26","33,390.35","32,906.16","33,405.55","32,500.84","","1.75%"
"2023- 02- 19","32,817.05","33,546.15","33,603.31","32,643.91","","-2.99%"
"2023- 02- 12","33,826.92","33,887.39","34,330.89","33,518.74","","-0.13%"
"2023- 02- 05","33,869.40","33,810.41","34,252.18","33,594.48","","-0.16%"
"2023- 01- 29","33,925.06","33,855.66","34,333.87","33,581.42","","-0.15%"
"2023- 01- 22","33,977.55","33,457.87","34,163.12","33,273.21","","1.81%"
"2023- 01- 15","33,374.37","34,245.96","34,269.97","32,949.75","","-2.71%"
"2023- 01- 08","34,302.81","33,725.58","34,342.28","33,426.17","","2.00%"
"2023- 01- 01","33,629.79","33,225.61","33,710.40","32,812.33","","1.46%"
"2022- 12- 25","33,147.28","33,271.90","33,387.12","32,848.07","","-0.17%"
"2022- 12- 18","33,204.26","32,897.72","33,437.84","32,573.43","","0.86%"
