"국가별",1990,1990,1990,1991,1991,1991,1992,1992,1992,1993,1993,1993,1994,1994,1994,1995,1995,1995,1996,1996,1996,1997,1997,1997,1998,1998,1998,1999,1999,1999,2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"국가별",전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자,전체,남자,여자
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"대한민국(LFS, 15+)",2.4,2.9,1.8,2.4,2.7,2,2.5,2.8,2.1,2.9,3.3,2.3,2.5,2.8,2,2.1,2.3,1.7,2,2.4,1.6,2.6,2.8,2.3,7,7.8,5.7,6.3,7.2,5.1,4.4,5,3.6,4,4.5,3.3,3.3,3.6,2.7,3.6,3.8,3.3,3.7,3.9,3.4,3.7,4,3.4,3.5,3.9,3,3.2,3.7,2.7,3.2,3.6,2.6,3.6,4.1,3,3.7,4,3.3,3.4,3.6,3.1,3.2,3.4,3,3.1,3.3,2.8,3.5,3.5,3.5,3.6,3.6,3.5,3.7,3.8,3.6,3.7,3.8,3.5,3.8,3.9,3.7,3.8,3.9,3.6,4,3.9,4,3.7,3.6,3.8
"이스라엘(LFS, 15+)",12.24,11.01,14.09,13.39,11.34,16.42,14.08,11.97,17.11,12.74,11.25,14.87,9.93,8.18,12.35,8.78,7.33,10.74,8.46,7.53,9.69,9.75,8.88,10.9,10.75,10.39,11.21,11.18,10.9,11.54,11.1,11.05,11.17,11.81,11.65,12.01,12.89,13.01,12.74,13.51,13.25,13.81,13.03,12.41,13.77,11.34,11.1,11.63,10.71,10.42,11.04,9.38,9.01,9.81,7.7,7.57,7.86,9.53,9.84,9.18,8.48,8.94,7.95,7.14,7.3,6.95,6.86,6.75,6.98,6.21,6.18,6.24,5.89,5.87,5.92,5.25,5.13,5.39,4.8,4.67,4.94,4.22,4.12,4.32,4,4.04,3.95,3.8,3.69,3.93,4.33,4.52,4.12,-,-,-
"일본(LFS, 15+)",2.1,2,2.2,2.1,2,2.2,2.2,2.1,2.2,2.5,2.4,2.6,2.9,2.8,3,3.2,3.1,3.2,3.4,3.4,3.3,3.4,3.4,3.4,4.1,4.2,4,4.7,4.8,4.5,4.75,4.91,4.51,5.02,5.22,4.74,5.39,5.57,5.12,5.25,5.5,4.89,4.73,4.96,4.42,4.45,4.61,4.22,4.19,4.38,3.92,3.89,3.97,3.77,4,4.11,3.86,5.07,5.27,4.78,5.1,5.46,4.61,4.55,4.84,4.15,4.36,4.58,4.05,4.04,4.3,3.68,3.59,3.75,3.37,3.39,3.61,3.09,3.13,3.36,2.84,2.82,2.96,2.65,2.47,2.65,2.23,2.35,2.5,2.17,2.8,3,2.5,2.8,3.1,2.5
"튀르키예(LFS, 15+)",8.02,7.8,8.5,8.21,8.68,7.13,8.51,8.82,7.77,8.96,8.83,9.35,8.58,8.78,8.09,7.64,7.77,7.33,6.63,6.9,5.97,6.84,6.47,7.8,6.89,6.92,6.81,7.69,7.73,7.59,6.5,6.58,6.27,8.38,8.72,7.47,10.36,10.72,9.46,10.54,10.71,10.1,10.84,10.79,10.99,10.64,10.45,11.18,8.72,8.59,9.1,8.87,8.77,9.15,9.71,9.61,9.98,12.55,12.53,12.61,10.66,10.37,11.39,8.8,8.27,10.07,8.15,7.63,9.38,8.73,7.93,10.55,9.88,9.03,11.83,10.24,9.18,12.59,10.84,9.55,13.63,10.82,9.37,13.89,10.89,9.51,13.77,13.67,12.33,16.41,13.11,12.31,14.85,-,-,-
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"캐나다(LFS, 15+)",8.13,8.16,8.09,10.32,10.82,9.69,11.2,12.01,10.19,11.38,11.95,10.68,10.4,10.89,9.8,9.49,9.8,9.11,9.62,9.89,9.29,9.1,9.25,8.92,8.28,8.52,7.99,7.58,7.83,7.29,6.83,6.94,6.69,7.22,7.53,6.86,7.66,8.13,7.12,7.57,7.94,7.16,7.19,7.48,6.85,6.76,7.01,6.46,6.32,6.52,6.09,6.04,6.38,5.65,6.14,6.57,5.65,8.34,9.54,7.01,8.06,8.79,7.24,7.51,7.96,7.01,7.29,7.72,6.82,7.07,7.5,6.6,6.91,7.38,6.39,6.91,7.46,6.29,7,7.68,6.24,6.34,6.78,5.85,5.83,6.14,5.49,5.66,6.03,5.25,9.46,9.53,9.39,7.46,7.68,7.21
"멕시코(LFS, 15+)",-,-,-,3.15,2.61,4.34,3.24,2.81,4.16,3.37,3.03,3.95,4.44,4.17,5,7.1,6.24,8.88,5.47,4.66,7.06,4.24,3.12,6.32,3.73,3.02,5.08,2.6,2.05,3.66,2.65,2.26,3.36,2.63,2.23,3.37,3,2.57,3.82,3.46,2.92,4.46,3.94,3.2,5.25,3.56,3.36,3.9,3.57,3.38,3.88,3.63,3.41,3.99,3.87,3.78,4.03,5.36,5.36,5.35,5.3,5.37,5.18,5.17,5.19,5.13,4.89,4.89,4.88,4.91,4.89,4.96,4.81,4.79,4.85,4.31,4.23,4.45,3.86,3.83,3.91,3.42,3.31,3.6,3.27,3.19,3.41,3.48,3.45,3.51,4.45,4.67,4.1,4.09,4.06,4.13
